model,term,effect_pp,se_pp,t_cluster,p_value_two_sided,rows,chooser_clusters,design_columns_after_absorption,epistemic_label,reference
C3_position_vs_game1,idx_2_3,-0.1404799412015611,0.06360531070811651,-2.208619683444685,0.02720531137778535,345622,53716,209,X,session_game_1
C3_position_vs_game1,idx_4_6,-0.17765565822557236,0.0768288836633034,-2.312355064328859,0.020761885793295885,345622,53716,209,X,session_game_1
C3_position_vs_game1,idx_7_10,-0.3129515009532431,0.09607895780426289,-3.257232469057422,0.0011257402749931143,345622,53716,209,X,session_game_1
C3_position_vs_game1,idx_11p,-0.30000609396097816,0.10064407204573471,-2.9808620404851,0.002875669901066895,345622,53716,209,X,session_game_1
