category,epistemic_role,epistemic_label,holm_adjusted_p_value,interpretation,observed_numerator,observed_denominator,observed_rate,observed_rate_pct,null_mean_rate,null_mean_rate_pct,excess_percentage_points,effect_relative_to_null_mean_pct,randomization_p_two_sided,lower_tail_plus_one,upper_tail_plus_one,null_p025,null_p975,randomizations
same_session_7d,S_component,S,,,888,1647,0.5391621129326047,53.916211293260474,0.347357515991409,34.735751599140904,19.180459694119573,55.2182083619977,0.0004,1.0,0.0002,0.32556632149582654,0.36983564792119633,4999
later_session_7d,C_primary,C,PENDING_C5_C6_AND_FAMILY_COMPLETION,positive excess is consistent with habit/identity transfer beyond the initiating session,11617,27302,0.4254999633726467,42.549996337264666,0.3144479411837363,31.444794118373633,11.105202218891035,35.31650478322614,0.0004,1.0,0.0002,0.309423462163429,0.31940472186886004,4999
same_pool_24h,S_component,S,,,2858,5714,0.5001750087504375,50.01750087504375,0.328444926609703,32.844492660970296,17.173008214073455,52.28580752133355,0.0004,1.0,0.0002,0.31726851975529613,0.3401662049861496,4999
cross_pool_24h,S_component,S,,,221,476,0.4642857142857143,46.42857142857143,0.3623965917860592,36.23965917860592,10.18891224996551,28.11536444023881,0.0004,1.0,0.0002,0.3212075496342738,0.4038876889848812,4999
