analysis,outcome,estimand,postoutcome_secondary,matchmaking_design,rating_width,hour_width,minimum_mercy,minimum_claimed,eligible_matchmaking_cells,matchmaking_mercy_retention_share,fixed_effects,cluster,standardization,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names
postoutcome_fine_matchmaking_sensitivity,first_subsequent_kind_draw,A1_total_path_supported_200rating_weekday_6hour,True,supported_200rating_weekday_6hour,200,6,5,20,947,0.9942651922722047,frozen exposure cell and exposure month,exposure chooser,ATT-style fine-matchmaking-cell weights,1024386,665254,29925,994461,0.009444915270368259,0.0012371505803552248,7.634410410781464,2.2685617505561888e-14,0.04564745196324144,0.03549275904076422,0.2661082295552331,0.9444915270368259,0.12371505803552248,27,8.962429073379665,8,2.8227602096457686e-12,1.0000268849521863,8fe88275601eeaf6718eb97947e731a2f32c4eb6bb3f664342c25c835801b8d4,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
postoutcome_fine_matchmaking_sensitivity,log1p_games_within_30d,A3_log1p_30d_supported_200rating_weekday_6hour,True,supported_200rating_weekday_6hour,200,6,5,20,947,0.9942651922722047,frozen exposure cell and exposure month,exposure chooser,ATT-style fine-matchmaking-cell weights,2353113,1157131,70043,2283070,0.0047537484312768835,0.005853694989160593,0.812093633180324,0.4167379062246452,3.558760073676071,3.572816450864022,0.0013305325075200194,,,27,13.907089881970721,8,1.5882154829534564e-12,1.0000119135365964,4ceb47c8c03b66825a466a72524531e43ec400aa195b17ba119c68dd73628edd,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
postoutcome_fine_matchmaking_sensitivity,first_subsequent_kind_draw,A1_total_path_very_fine_100rating_weekday_4hour,True,very_fine_100rating_weekday_4hour,100,4,3,10,2563,0.9895666245546297,frozen exposure cell and exposure month,exposure chooser,ATT-style fine-matchmaking-cell weights,1016908,660629,29819,987089,0.009524526083811307,0.0012418504168988068,7.6696242592536175,1.72500919285652e-14,0.04577618297058922,0.03556091593075384,0.2678369168656394,0.9524526083811307,0.12418504168988068,27,8.94788865632141,8,2.9126543849802146e-12,1.0000270821300732,d48167da630ad97f905c75f31d70fbb44159f093c7bca69296df7d70004e0047,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
postoutcome_fine_matchmaking_sensitivity,log1p_games_within_30d,A3_log1p_30d_very_fine_100rating_weekday_4hour,True,very_fine_100rating_weekday_4hour,100,4,3,10,2563,0.9895666245546297,frozen exposure cell and exposure month,exposure chooser,ATT-style fine-matchmaking-cell weights,2332012,1148060,69712,2262300,0.004973101783671989,0.005868690561572286,0.8473954677787,0.39677472984965484,3.5585668911151163,3.570981010583509,0.0013926430213246554,,,27,13.873750463863134,8,1.8317665325235146e-12,1.0000120203449303,ab86e5b51a10b0604d020611098646c66fb6442e4f9e9bfc0ad165f18dcb5e7b,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
