name,eligible_cells,rating_width,hour_width,minimum_mercy,minimum_claimed,base_rows,retained_rows,base_mercy,retained_mercy,retained_claimed,mercy_retention_share
supported_200rating_weekday_6hour,947,200,6,5,20,2370142,2353113,70447,70043,2283070,0.9942651922722047
very_fine_100rating_weekday_4hour,2563,100,4,3,10,2370142,2332012,70447,69712,2262300,0.9895666245546297
