arm,rows,events_by_30d,censored_at_30d,weighted_event_rate_30d,weighted_rmst_hours,weighted_median_time_hours
mercy,70447,64617,5830,0.9172427498686956,91.73286012111548,3.8410313888888887
claimed,2299695,2120036,179659,0.9192660476311213,89.75958802699087,4.056166666666667
