rating_band,choosers,fair_opportunities,pearson,weighted_total_pearson
<1600,726994,8978442,0.5797004531947935,0.6730001891682703
1600-1999,336869,4245948,0.5997426069838566,0.6803188352773145
2000-2399,84842,898585,0.541881559203807,0.6054780210433754
2400+,3733,26911,0.4803156911532649,0.5666307122244998
