month,fair_opportunities,kind_draws,kind_rate_pct
2023-11,731832,20702,2.82879130729457
2023-12,753151,21295,2.8274542555211375
2024-01,733412,20981,2.860738575316466
2024-02,694689,19688,2.8340739525168814
2024-03,722489,20263,2.8046101739957288
2024-04,695170,19657,2.8276536674482498
2024-05,734683,20760,2.8257085028508895
2024-06,698232,19454,2.7861799516493084
2024-07,701896,19406,2.7647970639524946
2024-08,708843,19222,2.7117429388454144
2024-09,674579,18660,2.7661697147406015
2024-10,726734,20299,2.7931815492325938
2024-11,685017,18994,2.77277790186229
2024-12,741117,20914,2.8219565871515564
2025-01,734189,21239,2.8928518406023516
2025-02,679495,19647,2.8914120045033442
2025-03,752423,21718,2.8864083102191187
2025-04,734302,21235,2.89186193146689
2025-05,765802,21457,2.8018991854291317
2025-06,763082,21837,2.8616845895984966
2025-07,787327,22066,2.8026474387389233
2025-08,697741,18889,2.707164979555451
2025-09,686912,19036,2.771242895742104
2025-10,725013,19751,2.724227013860441
