category,opportunities,kind_draws,kind_rate_pct
prior_claimer,557,25,4.488330341113106
prior_benefactor,33,12,36.36363636363637
prior_other_timeout,1,1,100.0
prior_meeting_no_reversed_decision,43042,1210,2.811207657636727
