window,field,left_rows_finite,right_rows_finite,left_mean,right_mean,right_minus_left,standardized_difference_pooled_sd
0.5,price,3889180,4135828,6.243978806704036,6.650639361597488,0.40666055489345165,0.05597155784245769
0.5,engine_eval_cp,3889180,4135828,262.54376140986017,270.5625079186078,8.018746508747654,0.006785619731534406
0.5,chooser_elo,3889180,4135828,1504.7311808658894,1495.150484256115,-9.58069660977435,-0.02869781297221379
0.5,opponent_elo,3889180,4135828,1491.1434834592383,1507.9343862945946,16.79090283535629,0.050288240286843
0.5,chooser_rd,3889180,4135828,46.996328893012205,47.801264624131484,0.8049357311192793,0.05395761089362945
0.5,opponent_rd,3889180,4135828,58.126471649986854,58.235887839286015,0.10941618929916075,0.002119760817021957
0.5,log_chooser_clock,3889180,4135828,5.311202397310923,5.304647266512899,-0.006555130798023612,-0.008233933435492377
0.5,log_opponent_clock,3889162,4135814,5.379859108646459,5.378154413225264,-0.0017046954211945575,-0.0023695075770415394
0.5,tournament,3889180,4135828,0.011995587758859194,0.012140011625241668,0.00014442386638247387,0.001322579861914158
0.5,month_code,3889180,4135828,11.561886567348386,11.567757895154248,0.005871327805861526,0.0008455978909853309
0.5,speed_code,3889180,4135828,2.174082968646347,2.1730937553495937,-0.0009892132967532774,-0.0015953795571635025
1.0,price,5845916,6091786,6.381341735532554,6.6527059457273925,0.2713642101948386,0.04106571301225123
1.0,engine_eval_cp,5845916,6091786,262.2241980555314,277.4495034789469,15.225305423415477,0.012781824989466596
1.0,chooser_elo,5845916,6091786,1496.2100680201359,1478.2808030354317,-17.929264984704105,-0.051961505931938816
1.0,opponent_elo,5845916,6091786,1472.6717939498276,1500.9169614625332,28.24516751270562,0.08182899297805528
1.0,chooser_rd,5845916,6091786,47.3914453921154,47.92878415948793,0.5373387673725318,0.03854569768429546
1.0,opponent_rd,5845916,6091786,59.07721632785448,59.21662027965041,0.13940395179592713,0.002631748783200283
1.0,log_chooser_clock,5845916,6091786,5.330995382062422,5.318023642570619,-0.012971739491803191,-0.016131952072153833
1.0,log_opponent_clock,5845888,6091759,5.398636716754049,5.3941467230240585,-0.00448999372999026,-0.006171465465785808
1.0,tournament,5845916,6091786,0.014264488234179211,0.014117698816077912,-0.0001467894181012997,-0.0012411184961955747
1.0,month_code,5845916,6091786,11.540839450994506,11.55276432888483,0.011924877890324481,0.0017171231900909645
1.0,speed_code,5845916,6091786,2.190436879353039,2.187395453484413,-0.003041425868625769,-0.004841141553286179
2.0,price,7463588,7688676,6.615534611118565,6.831245252685607,0.21571064156704178,0.03218736950111034
2.0,engine_eval_cp,7463588,7688676,263.57883366552386,288.20219593074285,24.623362265218987,0.02036474825792878
2.0,chooser_elo,7463588,7688676,1483.5898311911108,1455.6034471994917,-27.98638399161905,-0.07778375311251129
2.0,opponent_elo,7463588,7688676,1447.3895085044887,1490.5598948375507,43.17038633306197,0.11984130595777695
