model,status,error,runtime_seconds
X_loss_level_slope_chooser_fe_premium20_fe,ESTIMATED,,2.4862747192382812
X_loss_log_elasticity_trim_p005_p995_premium20_fe,ESTIMATED,,2.437397003173828
X_loss_log_elasticity_trim_p01_p99_premium20_fe,ESTIMATED,,2.3347487449645996
X_loss_log_elasticity_winsor_p005_p995_premium20_fe,ESTIMATED,,2.495205879211426
X_loss_log_elasticity_winsor_p01_p99_premium20_fe,ESTIMATED,,2.50946307182312
X_gain_log_response_chooser_fe_premium20_fe,ESTIMATED,,2.340049982070923
X_gain_log_response_chooser_fe_level_premium,ESTIMATED,,1.7764739990234375
X_gain_level_slope_chooser_fe_premium20_fe,ESTIMATED,,2.2774300575256348
X_gain_log_response_trim_p005_p995_premium20_fe,ESTIMATED,,2.370413064956665
X_gain_log_response_trim_p01_p99_premium20_fe,ESTIMATED,,2.26472806930542
X_gain_log_response_winsor_p005_p995_premium20_fe,ESTIMATED,,2.568308115005493
X_gain_log_response_winsor_p01_p99_premium20_fe,ESTIMATED,,2.4655051231384277
X_nonparametric_signed_reference_bands_chooser_fe_premium20_fe,ESTIMATED,,30.67996621131897
X_loss_log_heterogeneity_rating_band_below_1600_chooser_fe_level_premium,ESTIMATED,,1.1270687580108643
X_loss_log_heterogeneity_rating_band_1600_1999_chooser_fe_level_premium,ESTIMATED,,0.5606989860534668
X_loss_log_heterogeneity_rating_band_2000_2399_chooser_fe_level_premium,ESTIMATED,,0.15227413177490234
X_loss_log_heterogeneity_rating_band_2400_plus_chooser_fe_level_premium,ESTIMATED,,0.013488054275512695
X_loss_log_heterogeneity_speed_ultrabullet_chooser_fe_level_premium,FAILED_RETAINED,"RuntimeError: X_loss_log_heterogeneity_speed_ultrabullet_chooser_fe_level_premium: fewer than 1,000 rows",0.0033087730407714844
X_loss_log_heterogeneity_speed_bullet_chooser_fe_level_premium,ESTIMATED,,0.20198917388916016
X_loss_log_heterogeneity_speed_blitz_chooser_fe_level_premium,ESTIMATED,,1.034924030303955
X_loss_log_heterogeneity_speed_rapid_chooser_fe_level_premium,ESTIMATED,,0.5838882923126221
X_loss_log_heterogeneity_speed_classical_chooser_fe_level_premium,ESTIMATED,,0.042936086654663086
X_loss_log_heterogeneity_speed_correspondence_chooser_fe_level_premium,FAILED_RETAINED,"RuntimeError: X_loss_log_heterogeneity_speed_correspondence_chooser_fe_level_premium: fewer than 1,000 rows",0.0005848407745361328
X_loss_log_heterogeneity_eval_band_below_0cp_chooser_fe_level_premium,ESTIMATED,,0.5284616947174072
X_loss_log_heterogeneity_eval_band_0_100cp_chooser_fe_level_premium,ESTIMATED,,0.6185269355773926
X_loss_log_heterogeneity_eval_band_101_300cp_chooser_fe_level_premium,ESTIMATED,,0.3646068572998047
X_loss_log_heterogeneity_eval_band_301_600cp_chooser_fe_level_premium,ESTIMATED,,0.2737760543823242
X_loss_log_heterogeneity_eval_band_above_600cp_chooser_fe_level_premium,ESTIMATED,,0.10432195663452148
X_loss_log_heterogeneity_temporal_half_first12_chooser_fe_level_premium,ESTIMATED,,0.9099388122558594
X_loss_log_heterogeneity_temporal_half_second12_chooser_fe_level_premium,ESTIMATED,,0.9288511276245117
X_loss_log_heterogeneity_rating_certainty_either_rd_above_110_chooser_fe_level_premium,ESTIMATED,,0.1804957389831543
X_loss_log_heterogeneity_rating_certainty_both_rd_le_110_chooser_fe_level_premium,ESTIMATED,,1.687849998474121
X_loss_log_heterogeneity_activity_quartile_q1_chooser_fe_level_premium,FAILED_RETAINED,RuntimeError: Exposure has no residual variation: log_reference_loss_magnitude,0.04620027542114258
X_loss_log_heterogeneity_activity_quartile_q2_chooser_fe_level_premium,ESTIMATED,,0.13643217086791992
X_loss_log_heterogeneity_activity_quartile_q3_chooser_fe_level_premium,ESTIMATED,,0.3491368293762207
X_loss_log_heterogeneity_activity_quartile_q4_chooser_fe_level_premium,ESTIMATED,,1.287290096282959
X_loss_log_heterogeneity_lagged_kindness_none_prior_chooser_fe_level_premium,ESTIMATED,,1.7045800685882568
X_loss_log_heterogeneity_lagged_kindness_one_prior_chooser_fe_level_premium,ESTIMATED,,0.10765218734741211
X_loss_log_heterogeneity_lagged_kindness_two_plus_prior_chooser_fe_level_premium,ESTIMATED,,0.07613515853881836
X_loss_conditional_chooser_fe_poisson_log_magnitude_controls,ESTIMATED,,1.1598048210144043
X_gain_conditional_chooser_fe_poisson_log_magnitude_controls,ESTIMATED,,0.9051251411437988
