analysis,outcome,estimand,state_conditioned,exposure_common_support,standardization,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names
A3,log1p_games_within_30d,primary_blinded_ceiling_selected,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.0033705079357863907,0.005820893944811388,0.5790361356421525,0.562564790876411,3.5604222762151405,3.614850097857067,0.0009324060042723416,,,27,14.489765431912476,8,1.7531005582401459e-12,1.0000118279641947,d5ee46494342d9b6dde0522f59ea6ccf2bf20c2a1aae31dc7e741c5c7f99a3c6,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,any_game_within_30d,mandatory_binary_30d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.0014291249510273642,0.0009962198924762463,1.4345476955645513,0.15141602843847418,0.9172427498686956,0.9192660476311213,0.0015546369353138959,0.14291249510273643,0.09962198924762464,27,14.489765431912652,7,9.310417367625053e-11,1.0000118279641947,8cbb025de762c36eb097d6408c656c2c53ed2ea94dba380ba0d5aa451703d69d,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,games_within_30d,mandatory_raw_count_30d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,-0.9903019375820656,0.7263861911622845,-1.3633270423237145,0.17277946302897929,117.51628884125655,123.17204575655906,-0.00803998936202885,,,27,14.489765431912208,9,1.918298853098576e-12,1.0000118279641947,f20f0ab3a5d05dd1b1d430ba05c97ca172cdb6b3fc8641b1d5b066b1047d04ef,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,any_game_within_7d,secondary_binary_7d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.002271119704665756,0.0012299850139686603,1.8464612811320185,0.06482525633582774,0.8644796797592517,0.8677558293638993,0.002617233590157015,0.2271119704665756,0.12299850139686602,27,14.489765431912652,7,9.310417367625053e-11,1.0000118279641947,d4b9ba48c5143a53dbbe650f8d13410261f2565525ec4269eec1c6511cfb9ae9,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,games_within_7d,secondary_raw_count_7d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,-0.3908414873594045,0.2177970888407922,-1.7945211730773236,0.07273002223074744,34.91081238377787,36.62279122138721,-0.01067208353936601,,,27,14.489765431912476,8,2.309044159580034e-11,1.0000118279641947,6306d23c83b94fdc33f7e6e7849a6e5e20bc46a994a64624acbe7dd8f98fec22,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,any_game_within_10m,secondary_reentry_10m,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.008819583498131802,0.001628415805925369,5.416051272678452,6.092963554168505e-08,0.2359930160262325,0.22323134900141026,0.03950871388622072,0.8819583498131802,0.1628415805925369,27,14.489765431912652,7,9.310417367625053e-11,1.0000118279641947,55d1765773cedf3ad4090e420329907258be6bcfbef23cb21faf82d290e6359a,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,any_game_within_30m,secondary_reentry_30m,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.010048890179787134,0.0017897220826877587,5.614776884630025,1.9681603519776643e-08,0.3187218760202706,0.3055741098128571,0.032885280058383815,1.0048890179787136,0.17897220826877586,27,14.489765431912652,7,9.310417367625053e-11,1.0000118279641947,8824c808c2081bfc88f5370deaca98db0183c69e0d69d881620dd921316a032b,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
A3,any_game_within_60m,secondary_reentry_60m,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2370142,1165471,70447,2299695,0.00966041934993642,0.0018590502796936375,5.196427151786562,2.031551587566079e-07,0.3744801056113106,0.36334979204335527,0.026587105762767932,0.966041934993642,0.18590502796936376,27,14.489765431912652,7,9.310417367625053e-11,1.0000118279641947,f8cb44eb43764e69c79680bacbf96732f3613551f2777580115bb1e3b175e1ef,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
