analysis,outcome,estimand,state_conditioned,propensity_inputs,standardization,target_population,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names
overlap_sensitivity,first_subsequent_kind_draw,A1_total_path_crossfit_overlap_population,False,exposure-time and pre-exposure only,cross-fitted overlap weights,"overlap population, not ATT",exposure cell and exposure month,exposure chooser,1029943,668921,30064,999879,0.009268782298528405,0.0012190085398208546,7.6035417273537265,2.8813428962654587e-14,0.045837030478169415,0.03657324782654166,0.25343065900212275,0.9268782298528405,0.12190085398208546,27,9.401226244059904,8,4.429634369528634e-12,1.0000267397620624,e64a131aad451d165621d636ee091fa888841071ed02a4e381518d0d6110ce30,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
overlap_sensitivity,log1p_games_within_30d,A3_log1p_30d_crossfit_overlap_population,False,exposure-time and pre-exposure only,cross-fitted overlap weights,"overlap population, not ATT",exposure cell and exposure month,exposure chooser,2372445,1166441,70517,2301928,0.0004215011194338519,0.005726607960660625,0.07360397679208815,0.9413255067025551,3.5636995664951336,3.5644143574741505,0.00011825255909151372,,,27,14.46776020660816,8,4.3253523141832e-12,1.0000118166017078,ab6f12e796089ad30f3df2a04edd5fdf6beb35e3c9438f5ba825a0e3beff1aad,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]"
