analysis,scope,tau_hours,primary_kernel,observed_statistic,null_mean,null_standard_deviation,null_quantile_025,null_quantile_975,standardized_difference,lower_tail_plus_one,upper_tail_plus_one,p_value_raw,randomizations,p_value_holm_within_b1
B1,sequence dependence among repeat granters,6.0,False,4780.780233518047,3510.274366013251,39.44372856188513,3431.592955946556,3588.362457284022,32.21059250297393,1.0,0.0002,0.0004,4999,0.0012000000000000001
B1,sequence dependence among repeat granters,24.0,True,11003.137951543102,8408.057750448563,55.94104063428757,8298.234835829993,8518.382668871178,46.38955892972706,1.0,0.0002,0.0004,4999,0.0012000000000000001
B1,sequence dependence among repeat granters,168.0,False,49732.16055245273,40773.7273285237,116.33316027575408,40544.796757594784,41002.727484239476,77.00670387268873,1.0,0.0002,0.0004,4999,0.0012000000000000001
