analysis,outcome,estimand,state_conditioned,exposure_common_support,standardization,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names,postoutcome_secondary,primary_family_reopened
A1_postoutcome_natural_later_exposure_path,any_future_disconnection_90d,any_later_qualifying_disconnection_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.0011869640237326593,0.0019699527018547706,-0.6025342753737674,0.5468185549366495,0.504663132826304,0.5087539750644416,-0.002333080588868739,-0.11869640237326592,0.19699527018547705,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,587612a1309355362050da84f152b3b997d828fe3a1074b12f778c9ee827e8cc,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",True,False
A1_postoutcome_natural_later_exposure_path,recipient_future_disconnections_90d,number_later_qualifying_disconnections_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,0.0031877100193564425,0.015076501712096792,0.211435655315102,0.8325473366608396,1.8251670891910579,1.847593888327358,0.0017253304633099338,,,27,13.916054715791889,8,2.0781148944247174e-12,1.000012816530355,ef6cc45f0ed84658c07df6a1449710d420c0a060dc4c5d9cbc65e7892f606b8c,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",True,False
A1_postoutcome_natural_later_exposure_path,any_future_mercy_receipt_90d,any_later_mercy_receipt_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,0.0022339584603849262,0.0008802703851765454,2.537809402660851,0.011154871680077316,0.05077974955826996,0.04769350049907865,0.04683989300445837,0.22339584603849263,0.08802703851765455,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,19f75e5dd86706775addfa00baa8d6cd1df2aca711effdf6c814fdd71118b9b5,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",True,False
A1_postoutcome_natural_later_exposure_path,recipient_future_mercy_receipts_90d,number_later_mercy_receipts_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,0.0028244958475238486,0.0010606720181608412,2.66293048101844,0.007746341593479723,0.05741722363063686,0.05354374285225052,0.052751184303977565,,,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,f7926b9077cad280500cd339d2dd938b130590983c29f75b6ac0f286a58823d0,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",True,False
