acquisition_role,returned_profiles,bot_titles,missing_created_at,missing_seen_at,missing_playtime,missing_count_all,disabled,tos_violation
control,979256,31,54362,54362,55606,979256,54362,33385
kind,326427,12,14732,14732,15206,326427,14732,10788
