estimand,replicates,mean_pp,sd_pp,minimum_pp,p10_pp,median_pp,p90_pp,maximum_pp,share_positive,share_positive_p_below_0_05
raw,100,0.3066108829494188,0.009550499693125642,0.2876703522756493,0.2936602100912648,0.3069635320104236,0.3202579740617792,0.3294561963880351,1.0,1.0
match_cell_fe,100,0.30661088294941835,0.009550499693125486,0.2876703522756528,0.2936602100912726,0.3069635320104257,0.3202579740617796,0.3294561963880339,1.0,1.0
full_controls,100,0.2663270559307641,0.01035453306127931,0.24555525679018794,0.2521920118127649,0.2668135226642993,0.2796963090051806,0.2907011031271877,1.0,1.0
