dose_bin,users,patrons,mean_fair_opps,patron_rate_pct
0,1056753,3319,9.413290522950964,0.314075285331577
1,169567,811,8.171831783306894,0.4782770232415505
2_4,60645,515,11.422145271662956,0.8492043861818781
5_9,13642,185,16.889165811464594,1.3561061427943117
10_plus,5076,66,28.23049645390071,1.3002364066193854
