model,estimand_class,variable,primary_term,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,opportunities,collapsed_rows,chooser_clusters,rank
patron_by_five_bin_desert_gradient,appendix_secondary,intercept,False,estimated,6.236422789522749,0.10012789715906954,62.284567702597116,0.0,6.040175717243242,6.432669861802255,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,tournament_like,False,estimated,-0.977827824927918,0.015278406465836199,-64.00064215560852,0.0,-1.0077729513421207,-0.9478826985137151,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2023_12,False,estimated,-0.038285935530812054,0.017512442500666067,-2.1862133468450153,0.028800000245305206,-0.07260969211344612,-0.003962178948177998,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_01,False,estimated,-0.04586733616553573,0.01751632975184856,-2.618547196549277,0.008830507515958015,-0.08019871162048633,-0.01153596071058513,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_02,False,estimated,-0.09247124027392317,0.01761738387534976,-5.248863334544746,1.5304055413660926e-07,-0.12700067817142538,-0.05794180237642096,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_03,False,estimated,-0.11980462122707891,0.017305531634081047,-6.9229090304939795,4.424619234858327e-12,-0.15372283996319636,-0.08588640249096147,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_04,False,estimated,-0.13361394940636018,0.01749621427037468,-7.636734858271648,2.227996553116486e-14,-0.1679058992420903,-0.09932199957063007,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_05,False,estimated,-0.14486741398582126,0.017277744037574136,-8.384625543171389,5.08874847780515e-17,-0.17873117003356823,-0.11100365793807429,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_06,False,estimated,-0.18333939236961427,0.01740959143526456,-10.530941696784755,6.220899407654479e-26,-0.2174615645682898,-0.14921722017093875,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_07,False,estimated,-0.2039926822360627,0.017371295581964576,-11.743089700681526,7.663464564244137e-32,-0.23803979594151303,-0.16994556853061238,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_08,False,estimated,-0.221274091950189,0.017257537127367044,-12.821881263653317,1.2366318932012741e-37,-0.2550982431816912,-0.18744994071868676,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_09,False,estimated,-0.20023290295748097,0.017492512690787377,-11.446777629776186,2.4404992321543365e-30,-0.23451759783053405,-0.1659482080844279,HC1,32858962,29562512,1305683,55
