minimum_opportunities_in_each_of_five_bins,fairness_bin,status,treated_n,control_n,treated_successes,control_successes,treated_rate_pct,control_rate_pct,gap_pp,unpooled_se_pp,ci95_low_pp,ci95_high_pp,pooled_z,pooled_p_two_sided,relative_ratio,relative_lift_pct
0,clearly_better,estimated,96191,1209492,669,4227,0.6954912621762951,0.349485569148039,0.34600569302825607,0.027327589787120556,0.2924446012612152,0.39956678479529695,16.898456602114965,4.618374318013654e-64,1.990042861774619,99.0042861774619
0,better,estimated,61474,1244209,481,4415,0.7824446107297394,0.35484392091682343,0.42760068981291594,0.03593417865586111,0.35717099383340023,0.4980303857924317,16.932686942350877,2.5831440736406277e-64,2.205038792007788,120.50387920077878
0,roughly_equal,estimated,160773,1144910,1148,3748,0.7140502447550273,0.32736197605051925,0.38668826870450806,0.021667107137632525,0.3442215190655776,0.42915501834343855,23.75463190787733,9.840778411603364e-125,2.1812253621197395,118.12253621197395
0,modestly_worse,estimated,41514,1264169,251,4645,0.6046153104976635,0.3674350502187603,0.23718026027890315,0.038426109517274314,0.16186646955905368,0.3124940509987526,7.7798903531400665,7.258743361794229e-15,1.6455025456545118,64.55025456545118
0,clearly_worse,estimated,92944,1212739,255,4641,0.2743587536581167,0.38268745377199875,-0.10832870011388204,0.018050267593749055,-0.14370657450894067,-0.07295082571882343,-5.207544139737426,1.91356327805408e-07,0.7169264394582866,-28.30735605417134
2,clearly_better,estimated,26766,228066,251,988,0.937756855712471,0.43320793103750665,0.5045489246749644,0.06049635104465287,0.38597825543135267,0.6231195939185761,11.226593352631575,3.018950186735283e-29,2.1646807191793567,116.46807191793567
2,better,estimated,16730,238102,164,1075,0.9802749551703526,0.4514871777641515,0.5287877774062011,0.07739967131672298,0.37708720921018624,0.680488345602216,9.50459460391362,2.008287115753007e-21,2.1712132779160123,117.12132779160123
2,roughly_equal,estimated,32605,222227,266,973,0.8158257935899402,0.4378405864273918,0.37798520716254835,0.051748406167818416,0.27656019481627386,0.47941021950882284,9.16300693101403,5.0470967474963565e-20,1.8632941277709314,86.32941277709314
2,modestly_worse,estimated,10316,244516,71,1168,0.6882512601783637,0.4776783523368614,0.21057290784150234,0.08258445870987134,0.04871034308741933,0.37243547259558535,3.011858052648764,0.002596539836784409,1.440825728885041,44.0825728885041
2,clearly_worse,estimated,21441,233391,84,1155,0.3917727717923604,0.4948776945126419,-0.10310492272028147,0.04506709815003035,-0.19143481198207266,-0.014775033458490284,-2.077144305539381,0.03778824241077497,0.7916557487566303,-20.834425124336974
4,clearly_better,estimated,10489,90415,91,427,0.8675755553436933,0.47226676989437594,0.3953087854493174,0.09337770254355972,0.2122918515048462,0.5783257193937886,5.362613399824556,8.202644016482661e-08,1.8370455231007035,83.70455231007034
4,better,estimated,6401,94503,62,456,0.9685986564599282,0.48252436430589507,0.486074292154033,0.12447308640980911,0.24211152574626513,0.7300370585618009,5.266257618361911,1.392328652995484e-07,2.0073569919173813,100.73569919173812
4,roughly_equal,estimated,12593,88311,103,415,0.8179147145239419,0.46993013327898,0.34798458124496195,0.08349551908237575,0.18433637097302866,0.5116327915168952,5.111928149638758,3.1888712111393197e-07,1.7405028037186465,74.05028037186466
4,modestly_worse,estimated,4088,96816,34,484,0.831702544031311,0.4999173690299124,0.3317851750013987,0.14383859479116815,0.049866709623858474,0.6137036403789389,2.907627212696161,0.0036418218676672522,1.6636800310523845,66.36800310523844
4,clearly_worse,estimated,9456,91448,41,477,0.4335871404399323,0.5216079083194821,-0.08802076787954982,0.07164386456895083,-0.2284401621479587,0.05239862638885908,-1.1401939369652738,0.25420551289580257,0.8312510863511725,-16.87489136488275
