model,contrast,status,first,second,difference_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,estimand_class
five_bin_chooser_min2_full_HC1,ever_kind_eval_roughly_equal_minus_ever_kind_eval_modestly_worse,estimated,ever_kind_eval_roughly_equal,ever_kind_eval_modestly_worse,0.2587469511236555,0.11434625987194422,2.262837030379698,0.02364573727448124,0.034632400007787195,0.48286150223952373,HC1,254832,postcertification_secondary
five_bin_chooser_min2_full_HC1,ever_kind_eval_modestly_worse_minus_ever_kind_eval_clearly_worse,estimated,ever_kind_eval_modestly_worse,ever_kind_eval_clearly_worse,0.061251437572013734,0.10224788786701673,0.5990484385523656,0.5491405838446579,-0.13915074014262901,0.2616536152866565,HC1,254832,postcertification_secondary
five_bin_chooser_min2_full_HC1,clearly_better_minus_clearly_worse,estimated,ever_kind_eval_clearly_better,ever_kind_eval_clearly_worse,0.5798839276490604,0.0847630319929681,6.8412362561212685,7.85126469464362e-12,0.4137514377224265,0.7460164175756943,HC1,254832,postcertification_secondary
five_bin_chooser_min4_exposure_HC1,ever_kind_eval_clearly_better_minus_ever_kind_eval_better,estimated,ever_kind_eval_clearly_better,ever_kind_eval_better,-0.05095916371887077,0.17960216396068004,-0.2837335731101055,0.7766145639876184,-0.4029729366272613,0.30105460918951976,HC1,100904,postcertification_secondary
five_bin_chooser_min4_exposure_HC1,ever_kind_eval_better_minus_ever_kind_eval_roughly_equal,estimated,ever_kind_eval_better,ever_kind_eval_roughly_equal,0.1828036616647414,0.17399185182264232,1.050644956932129,0.2934216849944078,-0.15821410151106732,0.5238214248405502,HC1,100904,postcertification_secondary
five_bin_chooser_min4_exposure_HC1,ever_kind_eval_roughly_equal_minus_ever_kind_eval_modestly_worse,estimated,ever_kind_eval_roughly_equal,ever_kind_eval_modestly_worse,0.11026257051758245,0.19640564837071622,0.561402237829034,0.5745233588300497,-0.2746854266492593,0.4952105676844242,HC1,100904,postcertification_secondary
five_bin_chooser_min4_exposure_HC1,ever_kind_eval_modestly_worse_minus_ever_kind_eval_clearly_worse,estimated,ever_kind_eval_modestly_worse,ever_kind_eval_clearly_worse,0.25619891330193123,0.17367299821705975,1.4751798836439103,0.14016418822560786,-0.08419390829059492,0.5965917348944574,HC1,100904,postcertification_secondary
five_bin_chooser_min4_exposure_HC1,clearly_better_minus_clearly_worse,estimated,ever_kind_eval_clearly_better,ever_kind_eval_clearly_worse,0.4983059817653843,0.13088210261660993,3.8072889402232564,0.0001404985577817426,0.24178177441595328,0.7548301891148154,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_HC1,ever_kind_eval_clearly_better_minus_ever_kind_eval_better,estimated,ever_kind_eval_clearly_better,ever_kind_eval_better,-0.06690233874762105,0.179265826123694,-0.3732018544430115,0.7089982160781441,-0.41825690160888085,0.2844522241136387,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_HC1,ever_kind_eval_better_minus_ever_kind_eval_roughly_equal,estimated,ever_kind_eval_better,ever_kind_eval_roughly_equal,0.19022881394212948,0.17361169854987843,1.095714260796066,0.2732038398670153,-0.15004386251045698,0.530501490394716,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_HC1,ever_kind_eval_roughly_equal_minus_ever_kind_eval_modestly_worse,estimated,ever_kind_eval_roughly_equal,ever_kind_eval_modestly_worse,0.07819082851763759,0.19556309439348185,0.39982405044335245,0.6892861152750149,-0.30510579319879383,0.461487450234069,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_HC1,ever_kind_eval_modestly_worse_minus_ever_kind_eval_clearly_worse,estimated,ever_kind_eval_modestly_worse,ever_kind_eval_clearly_worse,0.2517041840593839,0.17302964896045184,1.4546881737991282,0.1457556080593625,-0.08742769616071011,0.5908360642794779,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_HC1,clearly_better_minus_clearly_worse,estimated,ever_kind_eval_clearly_better,ever_kind_eval_clearly_worse,0.45322148777152993,0.12984424322494917,3.490501207561005,0.000482115434211964,0.19873144745077065,0.7077115280922892,HC1,100904,postcertification_secondary
five_bin_chooser_min4_full_CR1,ever_kind_eval_clearly_better_minus_ever_kind_eval_better,estimated,ever_kind_eval_clearly_better,ever_kind_eval_better,-0.06690233874762105,0.14508629203697554,-0.46112101845273473,0.6447117828210994,-0.35126624579055354,0.21746156829531146,CR1,100904,postcertification_sensitivity
five_bin_chooser_min4_full_CR1,ever_kind_eval_better_minus_ever_kind_eval_roughly_equal,estimated,ever_kind_eval_better,ever_kind_eval_roughly_equal,0.19022881394212948,0.1783477822471293,1.0666172101794746,0.28614472574436467,-0.159326415984836,0.539784043869095,CR1,100904,postcertification_sensitivity
five_bin_chooser_min4_full_CR1,ever_kind_eval_roughly_equal_minus_ever_kind_eval_modestly_worse,estimated,ever_kind_eval_roughly_equal,ever_kind_eval_modestly_worse,0.07819082851763759,0.16112666450608185,0.4852755362206745,0.627480906494261,-0.23761163086335108,0.39399328789862625,CR1,100904,postcertification_sensitivity
five_bin_chooser_min4_full_CR1,ever_kind_eval_modestly_worse_minus_ever_kind_eval_clearly_worse,estimated,ever_kind_eval_modestly_worse,ever_kind_eval_clearly_worse,0.2517041840593839,0.12128276849648759,2.0753499213424815,0.03795411587429992,0.01399432586095914,0.4894140422578086,CR1,100904,postcertification_sensitivity
five_bin_chooser_min4_full_CR1,clearly_better_minus_clearly_worse,estimated,ever_kind_eval_clearly_better,ever_kind_eval_clearly_worse,0.45322148777152993,0.10461614913976679,4.3322325615907324,1.4760490562695472e-05,0.24817760325631608,0.6582653722867438,CR1,100904,postcertification_sensitivity
