ambient_quartile,opportunities,choosers,kind_draws,kind_rate_pct,ambient_rate_pct_mean,ambient_rate_pct_min,ambient_rate_pct_max
1,4275284,713719,95781,2.2403423959671454,2.2329838627265786,1.6888150609080843,2.459189714962361
2,4274697,1132346,119360,2.792244690091485,2.7748271441380767,2.4591984012434773,2.9056897105294284
3,4275764,1098988,126402,2.9562436093292335,2.9704962687977887,2.9056940337041732,3.0779963722617554
4,4275396,1125180,138880,3.2483540705936944,3.2617622915568725,3.0779974215728405,4.7087642896026125
