speed,bridge_rows,raw_0_black_win,raw_1_draw,raw_2_white_win,chooser_loss,chooser_draw,chooser_win,raw_0_black_win_share,raw_1_draw_share,raw_2_white_win_share,chooser_loss_share,chooser_draw_share,chooser_win_share
ALL,459729,211672,18813,229244,210831,18813,230085,0.46042777375366795,0.04092193444398765,0.49865029180234444,0.45859843516506466,0.04092193444398765,0.5004796303909477
blitz,278035,128070,11763,138202,126823,11763,139449,0.46062546082327765,0.04230762314097146,0.49706691603575087,0.4561404139766576,0.04230762314097146,0.5015519628823709
bullet,64134,30214,1699,32221,30761,1699,31674,0.47110736894626876,0.02649140861321608,0.5024012224405152,0.4796363863161506,0.02649140861321608,0.49387220507063334
classical,3785,1643,148,1994,1742,148,1895,0.43408190224570675,0.03910171730515192,0.5268163804491414,0.46023778071334215,0.03910171730515192,0.5006605019815059
rapid,113551,51628,5199,56724,51347,5199,57005,0.454667946561457,0.045785594138316704,0.49954645930022634,0.4521932875976433,0.045785594138316704,0.50202111826404
ultrabullet,224,117,4,103,158,4,62,0.5223214285714286,0.017857142857142856,0.45982142857142855,0.7053571428571429,0.017857142857142856,0.2767857142857143
