analysis,outcome,estimand,state_conditioned,exposure_common_support,standardization,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names,audit_label,post_result_secondary,primary_holm_family_reopened
A1,reached_fair_chooser_within_90d,reproduce_reach_any_fair_choice_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.001997581215042843,0.0018786044050148217,-1.0633325513931617,0.28763116832521796,0.4617192901590228,0.4681547211058877,-0.00426692528129184,-0.1997581215042843,0.18786044050148218,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,6717a176f8c0899dd3550d7e80f393eca6680e20d80b9cd36c1027fd5bee414b,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",reproduce_reach_any_fair_choice_within_90d,True,False
A1,audit_reached_nonbenefactor,reach_any_nonbenefactor_fair_choice_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.002074736203761977,0.0018781818102890683,-1.1046514200042525,0.26931066111765245,0.46161173849581316,0.4681299370756302,-0.004431966510671559,-0.2074736203761977,0.18781818102890682,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,ec2b82900b7f7395664844321de2192ca8497782e7f2ff13c87fb5da28d79671,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",reach_any_nonbenefactor_fair_choice_within_90d,True,False
A1,audit_reached_same_benefactor,reach_any_same_benefactor_fair_choice_within_90d,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,7.06899729840297e-05,5.343314063895026e-05,1.3229612210460266,0.1858482742218987,0.0001997388031036337,0.00011477607756591654,0.615894657520702,0.00706899729840297,0.0053433140638950265,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,34aad0a2d8edb5c3180ab078e5abab3fff0b5929b9a54bdeba099c6cd691f1be,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",reach_any_same_benefactor_fair_choice_within_90d,True,False
A1,audit_any_same_benefactor,first_next_is_same_focal_benefactor_conditional_on_reach,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,1029558,668683,30051,999507,0.00025587817373721257,0.0001179706774048399,2.1689980880512842,0.03008282906315431,0.0003993211540381352,0.0001363224493585839,1.8770068682095649,0.025587817373721258,0.01179706774048399,27,9.352219168732484,8,2.84920294109036e-12,1.000026749734631,26b40b4a19064ed03ea4d7700facafbcab8ed9716e7224b471d2260fa782f2cc,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",first_next_is_same_focal_benefactor_conditional_on_reach,True,False
