sample,arm,rows,weight_sum,weight_square_sum,effective_sample_size,minimum_weight,median_weight,maximum_weight
full_common_support,all,2370142,140894.0,72762.6208069378,272820.2889869963,0.016286644951140065,0.029056368335943567,1.0
full_common_support,mercy,70447,70447.0,70447.0,70447.0,1.0,1.0,1.0
full_common_support,claimed,2299695,70447.0,2315.6208069378035,2143174.648513727,0.016286644951140065,0.029056368335943567,0.24489795918367346
headline_conditional_choice,all,1029558,60426.93309785516,31035.470260629147,117652.93752435129,0.016286644951140065,0.029056368335943567,1.0
headline_conditional_choice,mercy,30051,30051.0,30051.0,30051.0,1.0,1.0,1.0
headline_conditional_choice,claimed,999507,30375.933097855155,984.4702606291476,937252.6001706766,0.016286644951140065,0.028919112383679314,0.24489795918367346
